tau_seconds,allan_kalman_hz_mean,allan_kalman_hz_std,allan_ai_hz_mean,allan_ai_hz_std,improvement_percent_mean,improvement_percent_std
1.0,6.889357681512033e-05,3.2863771140802135e-07,6.639351255179158e-05,1.979631541751012e-07,3.628085610724689,0.24933759977930234
2.0,8.241612007608122e-05,1.0840481509777472e-06,7.779863517730853e-05,9.824574573920666e-07,5.601677674009451,0.33385154560564706
3.0,9.537119328799999e-05,1.6059273653441129e-06,8.848436172976686e-05,1.450698938979417e-06,7.219949309980697,0.38035482435421225
5.0,0.00011511290069674831,1.9145391954735757e-06,0.00010376939177981574,1.7042372170117004e-06,9.852939130769986,0.4982641308986855
6.0,0.00012231440655797137,1.8189667914634956e-06,0.00010885344074158297,1.217630382787522e-06,11.000888479762576,0.45613472847734715
8.0,0.00013364677661292326,2.621838350492081e-06,0.0001160417932806898,2.1115110881225403e-06,13.169145450846491,0.6185723808007757
11.0,0.00014562330664844375,3.0670478663645264e-06,0.00012255517012061808,2.577513594669182e-06,15.837285869308388,0.8805263002426449
14.0,0.0001516662392727548,5.619107599125097e-06,0.00012454405603115216,4.54747019944352e-06,17.878693865222104,0.768621103843054
19.0,0.00016037605809061215,5.572362705521481e-06,0.00012739245221579168,4.170627385726613e-06,20.558406721294944,0.8758149281859182
25.0,0.00016253746373766674,6.401143491633792e-06,0.0001237658087550948,5.71724413537564e-06,23.86188056789909,1.4508891071455732
33.0,0.0001608452804543143,6.659583474931829e-06,0.00011930379246928868,4.511120391792548e-06,25.809782521492906,1.2115888675159583
43.0,0.00015212127284285184,3.522972218853001e-06,0.00011035639586958032,5.091928436743547e-06,27.481393158537333,1.8451966496507544
56.0,0.00015088797623129488,6.5328186547942845e-06,0.00010912927864657721,5.096700268140285e-06,27.674801819311863,1.2539347344238032
74.0,0.00014064183586052185,4.490106966288596e-06,0.00010120323150478825,2.861502191322188e-06,28.0041141257972,2.354759051890995
97.0,0.00013622904814322422,1.1327146665634878e-05,9.917497893742572e-05,8.120215717313887e-06,27.16505099719226,2.0549266337811942
127.0,0.00012653307490693782,1.5307490541626485e-05,9.226083278039143e-05,1.2821794425682476e-05,27.179115011107,2.7801340645930033
166.0,0.0001251720674732328,9.79298562288692e-06,9.269699281963975e-05,7.007711354342744e-06,25.862385909002693,3.8276392603937643
218.0,0.00013667898798784707,1.2111072263329231e-05,0.00010099805995456616,9.612705104402642e-06,26.091749532415793,2.7972445258546146
286.0,0.00013693999586298483,1.1804390120996508e-05,0.0001016053913941428,1.083222013112489e-05,25.805323587596227,4.098302162454511
374.0,0.00015213900798107324,1.7217945886007508e-05,0.00011083510166860517,1.768434881694053e-05,27.365774937737264,4.399969092834312
490.0,0.00017073132778773793,3.229808896756237e-05,0.0001230772915863822,2.799286546701816e-05,28.18710698339322,5.560109490832373
641.0,0.00018383983727370492,4.516841063392726e-05,0.0001303546250505052,3.232248733019078e-05,29.011951978982587,4.497709558221901
840.0,0.0002051268377635125,6.801718784048371e-05,0.00014365271166838796,4.6881853132943245e-05,29.871336898632904,4.249444370442906
1100.0,0.00026196313916834193,7.682640001117162e-05,0.00018359423159387643,5.824900352560408e-05,30.306526879794262,4.042521235131082
1440.0,0.0002842894146833513,0.00010031927022124038,0.00020215170278476633,7.387063974289957e-05,29.127862596437563,4.598060760079518
1885.0,0.0003499335646334809,0.00012136996950273094,0.0002431809078196521,9.419945517855754e-05,31.163303890871525,4.654775774292958
2468.0,0.00039576151706413544,0.00017195903186597705,0.00027480438883493747,0.00012877363395899584,31.580290077474547,5.627178380760892
