tau_seconds,allan_before_hz,allan_after_hz
1.0,7.265143624993638e-05,6.91765700307215e-05
2.0,8.758378497025335e-05,8.225765591933379e-05
3.0,0.00010212640154172476,9.526091731427306e-05
5.0,0.00012404666800951478,0.00011502312845133742
6.0,0.00013417751284153204,0.0001242347782052208
8.0,0.00014605110807562212,0.00013493060269664984
11.0,0.00016062610654218344,0.00014826547500889026
14.0,0.00016651559168211056,0.00015357296878263185
19.0,0.00016831342563849685,0.00015512747469638256
25.0,0.00018185921272231533,0.0001675888934556481
33.0,0.00017504054063103802,0.000161207486734414
43.0,0.00016625383067510414,0.00015307428024939013
57.0,0.00017088002412005745,0.0001573018279208442
74.0,0.00015598943266418558,0.00014353309403101973
98.0,0.00016269445804978399,0.0001496600870100463
128.0,0.0001476609988871796,0.00013570000339898874
168.0,0.00015247791156526065,0.00014007417785841548
220.0,0.00013765866381577609,0.0001264583644177532
288.0,0.00015581453190679207,0.00014305391411835564
378.0,0.00014071479615587713,0.00012926286144800478
495.0,0.00014078076095541507,0.00012930684363056632
648.0,0.00014071006286489227,0.00012914084578498556
849.0,0.0001392952853103426,0.00012798455155907577
1112.0,0.0001916270929459691,0.0001761014598156409
1457.0,0.0002000223230729131,0.0001839434713970828
1908.0,0.0002461668530369939,0.00022613117859827803
2499.0,0.00018376170578176808,0.0001688599696793451
