tau_seconds,allan_open_loop_hz,allan_closed_loop_hz
1.0,7.489643524863559e-05,6.91765700307277e-05
2.0,9.83746203468803e-05,8.225765591934097e-05
3.0,0.00012449831099320096,9.52609173142822e-05
5.0,0.00017536343399318085,0.0001150231284513485
6.0,0.00020142194184894776,0.00012423477820523298
8.0,0.00024982915503607455,0.00013493060269666266
11.0,0.00032224792285835956,0.00014826547500890405
14.0,0.0003923357864968148,0.00015357296878264619
19.0,0.0005080696832528066,0.00015512747469639693
25.0,0.0006473857896573049,0.0001675888934556624
33.0,0.0008305008281371067,0.00016120748673442736
43.0,0.0010594605150490446,0.0001530742802494026
57.0,0.0013736644827781058,0.00015730182792085673
74.0,0.0017533085019827135,0.0001435330940310333
98.0,0.002290449465931396,0.00014966008701005864
128.0,0.0029617638404611747,0.00013570000339900053
168.0,0.003845542890542811,0.000140074177858427
220.0,0.005002361706802283,0.0001264583644177646
288.0,0.0065087136768489495,0.00014305391411836824
378.0,0.008433344072877057,0.00012926286144801494
495.0,0.010911812936302731,0.00012930684363057595
648.0,0.01429589091117839,0.00012914084578499602
849.0,0.018868984227864236,0.00012798455155908393
1112.0,0.02475339386008942,0.00017610145981565182
1457.0,0.032114363951532165,0.0001839434713970931
1908.0,0.04049643103020354,0.00022613117859829386
2499.0,0.053400538626337424,0.00016885996967935633
