step,kalman_corrected_offset,ai_corrected_offset,ai_prediction,ai_extra_correction
128,-0.00019215403840388954,-0.000177711456080208,-0.00028885164647363126,-1.4442582323681564e-05
129,-0.0003004137557907086,-0.00026785413617593363,-0.0003763616841752082,-1.8818084208760413e-05
130,-0.0002818018327387222,-0.00023360810294213735,-0.0003496467834338546,-1.748233917169273e-05
131,-6.845808190399194e-05,-1.5798007816689546e-05,-0.00015023283776827157,-7.511641888413579e-06
132,-1.3002718437395152e-05,4.0507002548264934e-05,-9.137963206740096e-05,-4.5689816033700484e-06
133,-0.00016267580650331708,-0.0001011216534130354,-0.0002412493631709367,-1.2062468158546835e-05
134,-0.00030464037594119545,-0.00022916354997874958,-0.0003689056320581585,-1.8445281602907927e-05
135,-0.0002035966087658956,-0.00011974741726753592,-0.00027527028578333557,-1.3763514289166778e-05
136,-0.00014305741799269694,-5.5163041203738514e-05,-0.00020348967518657446,-1.0174483759328724e-05
137,-3.756794497279186e-05,4.926428086327851e-05,-0.00011090900079580024,-5.545450039790013e-06
138,-5.655643358002627e-05,3.0200499839125706e-05,-0.00013331297668628395,-6.665648834314198e-06
139,3.3076873728996464e-07,8.594997339745556e-05,-0.00011333022121107206,-5.6665110605536036e-06
140,-5.8276120704155224e-05,2.998688661251225e-05,-0.0001884223602246493,-9.421118011232466e-06
141,6.231776818961796e-05,0.00014839068097269453,-9.45735810091719e-05,-4.728679050458596e-06
142,-2.3539909275405203e-05,6.436604289106085e-05,-0.00017432498862035573,-8.716249431017786e-06
143,-1.7361885730266812e-05,7.251608444321476e-05,-0.00017890729941427708,-8.945364970713855e-06
144,-0.00012503663650386047,-2.875885051462139e-05,-0.0002698734460864216,-1.3493672304321082e-05
145,-0.00013053021817559035,-2.7080690156192624e-05,-0.000292267621261999,-1.4613381063099951e-05
146,1.888017385511708e-05,0.00012265199956239026,-0.00016535361646674573,-8.267680823337288e-06
147,6.604779533670866e-05,0.00016784739993861125,-0.00012411843636073172,-6.205921818036586e-06
148,8.360474175036874e-05,0.00018401399581945247,-0.00013601464161183685,-6.8007320805918425e-06
149,0.00017507111483524857,0.00027166700726052645,-8.669342059874907e-05,-4.334671029937454e-06
150,0.0002594810292094043,0.00034948799285630037,-2.752627551672049e-05,-1.3763137758360244e-06
151,0.00024776208025491036,0.00033175001798917765,-3.1480889447266236e-05,-1.574044472363312e-06
152,0.0003443920439436006,0.00041823002567178464,5.949801561655477e-05,2.9749007808277383e-06
153,0.0004488127345947459,0.0005081650838727602,0.0001589718012837693,7.948590064188466e-06
154,0.00024969226045556795,0.000305893975879857,-4.9021935410564765e-05,-2.4510967705282386e-06
155,0.0004043775727239215,0.0004503948507029312,0.00010163969272980466,5.081984636490233e-06
156,0.0004024510550812519,0.0004388891544682462,0.00010305707110092044,5.152853555046022e-06
157,0.00038480690973385803,0.00041289776061300147,9.274164767703041e-05,4.637082383851521e-06
158,0.0003913962558402232,0.0004121562424893875,8.587940101278946e-05,4.293970050639473e-06
159,0.0003049327499639036,0.0003230169775323679,4.956865268468391e-06,2.4784326342341955e-07
160,0.00028947654281039786,0.0003048260624278796,1.3315439900907222e-05,6.657719950453612e-07
161,0.00020477584323427185,0.0002207060957241914,-4.7655750677222386e-05,-2.3827875338611194e-06
162,0.0003030898246602057,0.00031518097288879055,4.21541444666218e-05,2.10770722333109e-06
163,0.00027072732909040435,0.0002810402685851496,5.156080987944733e-06,2.5780404939723666e-07
164,0.0002901390976295899,0.0002982238272572926,1.7454189219279215e-05,8.727094609639608e-07
165,0.00022390226420601077,0.00023424156892854994,-6.880998989799991e-05,-3.440499494899996e-06
166,0.0002149478434995326,0.00022756871292281395,-7.0283240347635e-05,-3.51416201738175e-06
167,0.00023554439503543011,0.0002489855588371387,-4.3678348447429016e-05,-2.183917422371451e-06
168,0.00014202014290443175,0.00015914044367615503,-0.00010270468919770792,-5.135234459885396e-06
169,0.0003270053538934786,0.0003378346050719813,9.235439210897312e-05,4.617719605448656e-06
170,0.00035808332228238576,0.0003617032870726672,0.00011512495257193223,5.7562476285966115e-06
171,0.0003199116681866632,0.0003193868334684823,6.250284786801785e-05,3.125142393400893e-06
172,0.0003170331266818237,0.0003141719318889898,3.367063254700042e-05,1.6835316273500212e-06
173,0.00021888175901157118,0.00021882395079829325,-6.40427169855684e-05,-3.2021358492784203e-06
174,0.00029460581829154344,0.00029411355293206784,-6.616892278543673e-08,-3.308446139271837e-09
175,0.00031542821037993133,0.0003134276051248848,2.1537112843361683e-05,1.0768556421680842e-06
176,0.0001182125597467651,0.00012403173623591924,-0.00016350526129826903,-8.175263064913452e-06
177,0.00013536181976451432,0.00014815812924353277,-0.00015368575986940414,-7.684287993470207e-06
178,0.00015536246158544194,0.00017454314772691944,-0.00015134031127672642,-7.567015563836322e-06
179,6.84335735846722e-05,9.762078289400862e-05,-0.0002336880861548707,-1.1684404307743535e-05
180,0.0001629165491661194,0.0001966830905085929,-0.00013875530567020178,-6.9377652835100894e-06
181,0.00019008964630502312,0.00022534358417107645,-8.669231465319172e-05,-4.334615732659586e-06
182,0.00036610572627756525,0.00039454330992231087,7.406783697661012e-05,3.7033918488305065e-06
183,0.0002642162830544216,0.000291624894631459,-3.720297900144942e-05,-1.8601489500724712e-06
184,0.00035732685234044084,0.00037909847003167354,5.755995152867399e-05,2.8779975764337e-06
185,0.0003004696841659103,0.00031969228067667906,2.182442131015705e-06,1.0912210655078526e-07
186,0.0004591880706832185,0.00046905678053073643,0.00014449060836341232,7.224530418170616e-06
187,0.00043689238273043413,0.00043852614650827395,0.00013597795623354614,6.798897811677307e-06
188,0.00046733205106304506,0.0004598980725234591,0.0001678958797128871,8.394793985644355e-06
189,0.00046228375342841744,0.00044618698337853816,0.00017638418648857623,8.819209324428813e-06
190,0.00038755214874267133,0.00036753057465775354,9.540610335534438e-05,4.770305167767219e-06
191,0.00018843079678420747,0.00017458300116779464,-9.757946099853143e-05,-4.878973049926572e-06
192,0.00031115354444247786,0.00029596337667118545,5.018239244236611e-05,2.5091196221183056e-06
193,0.0004453898189749407,0.00042221110295939294,0.00018343082047067583,9.171541023533791e-06
194,0.0002833984156133429,0.00026086326365847826,1.8668004486244172e-05,9.334002243122086e-07
195,0.00023531515025973284,0.00021539785646027416,-1.8432978322380222e-05,-9.216489161190112e-07
196,0.00011504959987678087,0.00010316116847662905,-0.0001282835437450558,-6.41417718725279e-06
197,0.0001505208601939506,0.00014348947268855806,-7.326442573685199e-05,-3.6632212868426e-06
198,0.00019974704170285358,0.00019438132796866298,-1.7367372493026778e-05,-8.683686246513389e-07
199,0.00028101251053340296,0.0002719108305130577,8.601925947004929e-05,4.300962973502464e-06
200,0.0003056990724768349,0.0002918667925373635,0.00010776415001600981,5.388207500800491e-06
201,0.00028590893131576455,0.0002688636136728254,8.271288243122399e-05,4.135644121561199e-06
202,0.00030359829451915237,0.00028246790774748726,0.00010529715655138716,5.264857827569358e-06
203,0.0001647553048141545,0.00014732780947816147,-4.453154906514101e-05,-2.2265774532570506e-06
204,5.630972531031682e-05,4.768605391339224e-05,-0.00014787973486818373,-7.393986743409187e-06
205,8.994101847326128e-05,8.663682077296167e-05,-8.724736835574731e-05,-4.3623684177873654e-06
